ID,Usia,Status,Kelamin,Memiliki_Mobil,Penghasilan,Beli_Mobil,Kluster_Beli_Mobil
1,32.0,1,0,0.0,240.0,1,0
2,49.0,2,1,1.0,100.0,0,1
3,52.0,1,0,2.0,250.0,1,0
4,26.0,2,1,1.0,130.0,0,1
5,45.0,3,0,2.0,237.0,1,0
6,39.0,2,0,1.0,280.0,1,0
7,38.0,2,1,0.0,150.0,0,1
8,29.0,1,1,0.0,143.0,0,1
9,30.0,2,0,0.0,200.0,1,0
10,51.0,1,1,0.0,174.0,0,1
11,28.0,1,0,0.0,200.0,1,0
12,25.0,0,1,0.0,147.0,0,1
13,52.0,2,1,2.0,200.0,1,0
14,34.0,3,1,1.0,196.0,1,0
15,27.0,2,1,0.0,120.0,0,1
16,49.0,2,0,1.0,230.0,1,0
17,42.0,2,0,1.0,350.0,1,0
18,26.0,0,0,0.0,172.0,0,1
19,33.0,1,0,0.0,160.0,1,0
20,53.0,2,0,1.0,260.0,1,0
21,50.0,1,1,0.0,174.0,0,1
22,49.0,3,1,1.0,260.0,1,0
23,40.0,2,1,0.0,238.0,0,1
24,44.0,2,0,1.0,400.0,1,0
25,35.0,1,0,1.0,158.0,0,1
26,41.0,1,0,1.0,236.0,1,0
27,48.0,1,1,1.0,202.0,0,1
28,50.0,2,1,0.0,140.0,0,1
29,51.0,1,0,0.0,165.0,0,1
30,35.0,2,0,0.0,280.0,1,0
31,30.0,2,1,0.0,224.0,0,1
32,37.0,2,1,1.0,203.0,0,1
33,31.0,1,0,1.0,194.0,1,0
34,52.0,2,0,1.0,280.0,1,0
35,33.0,2,1,1.0,220.0,0,1
36,47.0,2,1,1.0,240.0,0,1
37,26.0,1,0,0.0,125.0,0,1
38,33.0,0,0,0.0,162.0,0,1
39,27.0,0,1,0.0,120.0,0,1
40,33.0,2,1,1.0,238.0,1,0
41,50.0,1,0,1.0,270.0,1,0
42,24.0,0,1,0.0,95.0,0,1
43,31.0,2,1,0.0,187.0,0,1
44,44.0,1,0,2.0,250.0,1,0
45,42.0,2,1,1.0,235.0,0,1
46,35.0,2,0,0.0,122.0,0,1
47,26.0,0,1,1.0,172.0,0,1
48,53.0,0,0,1.0,339.0,1,0
49,49.0,1,1,2.0,199.0,0,1
50,34.0,1,1,0.0,175.0,0,1
51,49.0,1,1,1.0,203.0,0,1
52,31.0,2,0,1.0,261.0,1,0
53,27.0,2,1,0.0,139.0,0,1
54,29.0,0,0,0.0,195.0,1,0
55,40.0,3,0,1.0,270.0,1,0
56,59.0,2,0,2.0,300.0,1,0
57,31.0,3,1,1.0,233.0,0,1
58,51.0,3,1,1.0,165.0,0,1
59,26.0,0,1,1.0,139.0,0,1
60,32.0,1,0,1.0,216.0,1,0
61,52.0,1,1,0.0,172.0,0,1
62,27.0,0,0,0.0,122.0,0,1
63,64.0,2,0,1.0,179.0,0,1
64,30.0,2,0,0.0,186.0,1,0
65,28.0,2,1,0.0,95.0,0,1
66,49.0,2,0,1.0,297.0,1,0
67,59.0,2,1,2.0,103.0,0,1
68,61.0,2,0,0.952,390.0,1,0
69,25.0,0,1,2.0,98.0,0,1
70,61.0,2,1,1.0,190.0,0,1
71,33.0,2,1,2.0,135.0,0,1
72,37.0,2,1,1.0,250.0,0,1
73,44.0,2,0,3.0,322.0,1,0
74,32.0,2,1,2.0,159.0,0,1
75,45.0,3,1,1.0,300.0,1,0
76,35.0,2,0,1.0,300.0,1,0
77,29.0,2,1,2.0,161.0,0,1
78,50.0,2,0,2.0,301.0,1,0
79,54.0,2,1,3.0,450.0,0,1
80,30.0,2,0,1.0,223.0,1,0
81,31.0,2,0,0.0,339.0,1,0
82,26.0,0,0,0.0,190.0,1,0
83,25.0,0,0,0.0,102.0,0,1
84,28.0,1,0,0.0,190.0,1,0
85,31.0,2,1,1.0,136.0,0,1
86,48.0,2,0,1.0,288.0,1,0
87,37.0,2,1,1.0,170.0,0,1
88,30.0,0,0,1.0,290.0,1,0
89,45.0,3,0,1.0,377.0,1,0
90,42.0,2,1,2.0,200.0,0,1
91,27.0,0,1,0.0,133.0,0,1
92,24.0,0,1,0.0,129.0,0,1
93,36.0,1,0,1.0,324.0,1,0
94,46.0,2,1,1.0,207.0,0,1
95,33.0,2,0,0.0,193.0,1,0
96,45.0,3,0,1.0,220.0,1,0
97,25.0,1,0,0.0,98.0,0,1
98,49.0,1,0,1.0,277.0,1,0
99,51.0,3,0,0.0,186.0,0,1
100,50.0,1,1,0.0,172.0,0,1
101,35.0,2,0,1.0,222.0,1,0
102,30.0,2,0,0.0,236.0,1,0
103,31.0,1,1,1.0,165.0,0,1
104,42.0,1,1,1.0,173.0,0,1
105,37.0,2,1,1.0,169.0,0,1
106,26.0,3,1,1.0,172.0,0,1
107,51.0,2,0,1.0,251.0,1,0
108,32.0,1,1,2.0,161.0,0,1
109,27.0,2,1,2.0,128.0,0,1
110,29.0,2,1,1.0,146.0,0,1
111,43.0,2,1,1.0,173.0,0,1
112,28.0,3,0,0.0,220.0,1,0
113,34.0,2,1,0.0,177.0,0,1
114,42.0,3,0,1.0,233.0,1,0
115,48.0,2,0,1.0,248.0,1,0
116,31.0,1,0,0.0,168.0,0,1
117,30.0,1,1,0.0,172.0,0,1
118,32.0,0,1,1.0,137.0,0,1
119,38.0,1,1,1.0,169.0,0,1
120,34.0,1,0,1.0,198.0,1,0
121,43.0,3,0,2.0,225.0,1,0
122,46.0,0,1,1.0,137.0,0,1
123,43.0,2,1,2.0,178.0,0,1
124,33.0,2,0,1.0,239.0,1,0
125,51.0,3,1,1.0,224.0,0,1
126,53.0,1,0,2.0,181.0,1,0
127,42.0,1,0,1.0,172.0,1,0
128,28.0,1,0,0.0,172.0,0,1
129,31.0,2,0,1.0,198.0,1,0
130,27.0,2,0,2.0,220.0,1,0
131,28.0,1,1,1.0,169.0,0,1
132,55.0,1,1,1.0,173.0,0,1
133,41.0,3,0,1.0,222.0,1,0
134,48.0,1,0,1.0,300.0,1,0
135,29.0,1,0,0.0,172.0,0,1
136,55.0,3,0,3.0,490.0,1,0
137,43.0,2,1,1.0,236.0,0,1
138,42.0,3,0,0.0,300.0,1,0
139,41.0,3,1,1.0,431.0,1,0
140,35.0,2,1,1.0,163.0,0,1
141,32.0,1,1,1.0,172.0,0,1
142,33.0,1,1,1.0,206.0,0,1
143,42.0,2,1,1.0,240.0,0,1
144,50.0,1,0,0.0,132.0,0,1
145,42.0,1,0,0.0,204.0,1,0
146,30.0,1,1,0.0,200.0,0,1
147,27.0,2,1,0.0,172.0,0,1
148,24.0,1,1,0.0,166.0,0,1
149,36.0,2,0,1.0,320.0,1,0
150,29.0,0,1,0.0,141.0,0,1
151,28.0,2,0,2.0,220.0,1,0
152,28.0,1,1,1.0,169.0,0,1
153,40.0,1,0,1.0,300.0,1,0
154,31.0,3,1,1.0,198.0,0,1
155,32.0,1,0,2.0,350.0,1,0
156,39.0,1,0,1.0,289.0,1,0
157,62.0,2,0,1.0,460.0,1,0
158,43.0,2,1,1.0,236.0,0,1
159,30.0,3,0,0.0,280.0,1,0
160,41.0,2,0,1.0,431.0,1,0
161,35.0,2,1,1.0,163.0,0,1
162,49.0,1,1,1.0,172.0,0,1
163,33.0,1,0,1.0,206.0,1,0
164,38.0,2,1,1.0,240.0,0,1
165,24.0,1,0,0.0,132.0,0,1
166,27.0,1,0,0.0,204.0,1,0
167,30.0,1,1,0.0,200.0,0,1
168,27.0,2,0,0.0,172.0,0,1
169,34.0,1,0,0.0,266.0,1,0
170,38.0,2,1,1.0,220.0,0,1
171,29.0,0,1,0.0,141.0,0,1
172,39.0,2,1,1.0,155.0,0,1
173,31.0,1,1,1.0,177.0,0,1
174,28.0,1,0,0.0,250.0,1,0
175,55.0,2,1,1.0,240.0,0,1
176,24.0,1,0,0.0,132.0,0,1
177,27.0,1,0,0.0,200.0,1,0
178,31.0,1,1,0.0,190.0,0,1
179,29.0,2,0,0.0,172.0,0,1
180,44.0,1,0,0.0,250.0,1,0
181,38.0,2,1,1.0,220.0,0,1
182,45.0,0,0,0.0,190.0,1,0
183,39.0,2,0,1.0,390.0,1,0
184,54.0,2,0,3.0,400.0,1,0
185,29.0,0,0,0.0,130.0,0,1
186,31.0,1,0,0.0,240.0,1,0
